id;email;ticket_type;quantity;price_per_unit;total_amount;status;purchase_date;event_id;user_id
1;Joanny0@yahoo.com;hydrogen if rethinking;23714;29272.07;19428.27;vulgarise zowie;2025-04-22T19:46:35;unwritten psst;amongst hence
2;Megane_Greenfelder@hotmail.com;giving gadzooks;10816;4874.67;14709.96;finally humongous;2025-04-22T13:33:17;uh-huh;low upon until
3;Tyreek.Collins43@hotmail.com;afore daffodil;19131;4579.83;8501.55;flaky knickers;2025-04-22T01:51:39;healthily worst roasted;substantial
4;Patsy30@yahoo.com;straight cuff and;23158;9856.78;26250.29;instead;2025-04-22T18:25:45;picture without uh-huh;amortize offensively
5;Sarina.Doyle@gmail.com;greedily out before;31467;29526.02;31687.02;gadzooks sardonic gosh;2025-04-22T06:58:52;call consonant amend;doll formalise
6;Tremaine_Feil24@yahoo.com;amid;25588;25353.87;25239.96;finally oof wonderfully;2025-04-21T20:16:17;burdensome oh;unknown finally animate
7;Lilyan17@hotmail.com;determination repossess via;13638;8460.79;18263.14;fairly thumb;2025-04-22T09:15:36;mmm uh-huh;tongue before meanwhile
8;Noemi_Reilly90@yahoo.com;correlate whereas;22693;13780.35;17028.03;ah;2025-04-22T04:24:39;blah madly;generally
9;Pearlie.Bechtelar95@gmail.com;boastfully carol;24041;8916.07;3220.44;except headache;2025-04-22T07:45:19;fugato towards;finally witch-hunt
10;Aiyana.Klein@yahoo.com;whether duh preserves;20289;26613.31;7812.21;fob;2025-04-22T18:43:39;consequently unless prickly;mute now boo
